Name,State,Married ages 32-34 (pct),Married ages 23-25 (pct),HBCU?,Religious private?,Nonsectarian private?
University Of New Haven,CT,0.5208606,0.0442534,No,No,Yes
University Of Saint Joseph,CT,0.5385866,0.1278,No,Yes,No
Wesleyan University,CT,0.5018296,0.0148572,No,No,Yes
Yale University,CT,0.5512947,0.0245126,No,No,Yes
American University,DC,0.5206245,0.0362521,No,Yes,No
Catholic University Of America,DC,0.5928974,0.0494585,No,Yes,No
George Washington University,DC,0.5441355,0.0297485,No,No,Yes
Georgetown University,DC,0.5555724,0.0277255,No,Yes,No
Howard University,DC,0.2758554,0.0315198,Yes,No,Yes
University Of Delaware,DE,0.627617,0.0492262,No,No,No
Barry University,FL,0.4296413,0.0623042,No,Yes,No
Embry-Riddle Aeronautical University,FL,0.6325257,0.2007539,No,No,Yes
Florida Agricultural & Mechanical University,FL,0.2765434,0.0403006,Yes,No,No
Florida Atlantic University,FL,0.4749724,0.084626,No,No,No
Florida Gulf Coast University,FL,0.5649542,0.1113028,No,No,No
Florida Institute Of Technology,FL,0.6092345,0.1347071,No,No,Yes
Florida Southern College,FL,0.6138635,0.1639609,No,Yes,No
Florida State University,FL,0.5693552,0.0881066,No,No,No
Nova Southeastern University,FL,0.4963827,0.1032709,No,No,Yes
Rollins College,FL,0.5381853,0.0580597,No,No,Yes
Saint Leo University,FL,0.5099186,0.2019681,No,Yes,No
Saint Thomas University,FL,0.3950365,0.1050889,No,Yes,No
Stetson University,FL,0.5882407,0.119432,No,No,Yes
University Of Central Florida,FL,0.5663179,0.0977308,No,No,No
University Of Florida,FL,0.6065894,0.0817862,No,No,No
University Of Miami,FL,0.4863849,0.0426478,No,No,Yes
University Of North Florida,FL,0.5967124,0.1359794,No,No,No
University Of South Florida,FL,0.5566259,0.1249767,No,No,No
University Of Tampa,FL,0.5044017,0.0626072,No,No,Yes
University Of West Florida,FL,0.578755,0.1933983,No,No,No
Albany State University,GA,0.2117666,0.0548062,Yes,No,No
Armstrong Atlantic State University,GA,0.5393265,0.1812536,No,No,No
Brenau University,GA,0.6019784,0.2193332,No,No,Yes
Clark Atlanta University,GA,0.1955472,0.0238794,Yes,Yes,No
Clayton State University,GA,0.5073456,0.1215032,No,No,No
Columbus State University,GA,0.5138991,0.177395,No,No,No
